,Unnamed: 0,prop_name,completion_year,rent,rent_type,region,district,property_type,rooms,parking,bathroom,size,furnished_rate,facilities_rate,count
3865,3865,Setia SKY Residences,2011.0,4000,house,Kuala Lumpur,KLCC,Condominium,3,2.0,3.0,1200.0,2.0,12.0,37.0
3866,3866,Pertiwi Indah,,1500,house,Kuala Lumpur,Cheras,Condominium,3,1.0,2.0,1285.0,1.0,10.0,14.0
3867,3867,Bayu Tasik 1,1999.0,1099,house,Kuala Lumpur,Cheras,Condominium,3,1.0,2.0,926.0,0.0,8.0,19.0
3868,3868,28 Boulevard,2019.0,1399,room,Kuala Lumpur,Pandan Perdana,Apartment,1,,1.0,450.0,2.0,10.0,25.0
3869,3869,Kaleidoscope,,3800,house,Kuala Lumpur,Setiawangsa,Condominium,4,2.0,3.0,1496.0,1.0,6.0,11.0
3870,3870,Platinum Splendor Residensi Semarak,2020.0,2000,house,Kuala Lumpur,Keramat,Condominium,3,2.0,2.0,1118.0,0.0,10.0,153.0
3871,3871,Nova II,,1350,house,Kuala Lumpur,Segambut,Apartment,4,1.0,2.0,1224.0,1.0,4.0,4.0
3872,3872,Platinum Hill PV 5,2006.0,1600,house,Kuala Lumpur,Setapak,Condominium,4,1.0,2.0,1272.0,1.0,13.0,13.0
3873,3873,Vista Langkawi @ PV18,,1600,house,Kuala Lumpur,Setapak,Service Residence,3,1.0,2.0,926.0,1.0,,23.0
3874,3874,Sky Awani 3,,1200,house,Kuala Lumpur,Setapak,Condominium,3,1.0,2.0,850.0,0.0,12.0,2.0
3875,3875,M Centura,2021.0,2299,house,Kuala Lumpur,Sentul,Service Residence,2,1.0,1.0,661.0,2.0,11.0,140.0
3876,3876,Desa Putra (Wangsa Maju),2007.0,3000,house,Kuala Lumpur,Wangsa Maju,Condominium,3,1.0,2.0,1250.0,2.0,7.0,13.0
3877,3877,D28 Damansara,,820,room,Kuala Lumpur,Damansara Heights,Condominium,1,1.0,1.0,600.0,2.0,4.0,1.0
3878,3878,M3 Residency,2017.0,1600,house,Kuala Lumpur,Setapak,Service Residence,3,1.0,2.0,950.0,1.0,6.0,15.0
3879,3879,,,1800,house,Kuala Lumpur,Jalan Ipoh,Condominium,4,1.0,3.0,1342.0,2.0,7.0,
3880,3880,The Havre @ Bukit Jalil,2020.0,2400,house,Kuala Lumpur,Bukit Jalil,Condominium,3,,3.0,1239.0,2.0,5.0,40.0
3881,3881,Service Suites @ Pavilion Embassy,,3600,room,Kuala Lumpur,Keramat,Service Residence,1,1.0,1.0,775.0,2.0,14.0,25.0
3882,3882,Kiara Residence,2014.0,1700,house,Kuala Lumpur,Bukit Jalil,Condominium,4,2.0,3.0,1268.0,1.0,12.0,9.0
3883,3883,Bandar Tasik Selatan (Low Cost),,1100,house,Kuala Lumpur,Cheras,Apartment,3,,2.0,650.0,2.0,1.0,14.0
3884,3884,M Centura,2021.0,1900,house,Kuala Lumpur,Sentul,Service Residence,3,1.0,2.0,850.0,2.0,8.0,140.0
3885,3885,Kepong Sentral Condominium,2007.0,1300,house,Kuala Lumpur,Kepong,Condominium,3,1.0,2.0,962.0,1.0,10.0,34.0
3886,3886,Special Promo: Expressionz Suite @ KLCC,,1500,room,Kuala Lumpur,KLCC,Studio,1,,1.0,400.0,2.0,10.0,1.0
3887,3887,Pangsapuri Lestari,,1350,house,Kuala Lumpur,Cheras,Apartment,3,,2.0,820.0,2.0,7.0,5.0
3888,3888,Prima Tiara II,,1200,house,Kuala Lumpur,Segambut,Apartment,3,1.0,2.0,918.0,1.0,4.0,3.0
3889,3889,Maxim Citilights,2017.0,120,room,Kuala Lumpur,Sentul,Service Residence,1,,1.0,160.0,0.0,6.0,42.0
3890,3890,Teratai Mewah Apartment,,850,house,Kuala Lumpur,Setapak,Apartment,3,,1.0,712.0,0.0,2.0,24.0
3891,3891,Vista Langkawi @ PV18,,1500,house,Kuala Lumpur,Setapak,Service Residence,3,1.0,2.0,926.0,1.0,6.0,23.0
3892,3892,Kuchai Avenue,2009.0,1700,house,Kuala Lumpur,Kuchai Lama,Service Residence,3,1.0,2.0,935.0,2.0,3.0,3.0
3893,3893,Cerrado,,1300,house,Kuala Lumpur,Sungai Besi,Condominium,2,2.0,1.0,656.0,2.0,3.0,6.0
3894,3894,,,2600,room,Kuala Lumpur,KLCC,Service Residence,1,1.0,1.0,657.0,2.0,4.0,
3895,3895,Residensi Desa Sentralmas (Taman Desa),,1000,house,Kuala Lumpur,Taman Desa,Condominium,3,,2.0,850.0,2.0,6.0,10.0
3896,3896,Apartment Permai Puteri,,1300,house,Kuala Lumpur,Ampang,Apartment,3,,2.0,883.0,1.0,5.0,1.0
3897,3897,The Haute,2019.0,1500,house,Kuala Lumpur,Keramat,Condominium,3,,2.0,1100.0,1.0,5.0,33.0
3898,3898,Residensi Pandanmas 2,,1000,house,Kuala Lumpur,Desa Pandan,Apartment,3,,2.0,900.0,1.0,7.0,43.0
3899,3899,Residensi Tasikmas,,900,house,Kuala Lumpur,Cheras,Apartment,3,,2.0,850.0,0.0,,10.0
3900,3900,OUG Parklane,,1000,house,Kuala Lumpur,OUG,Service Residence,3,1.0,2.0,950.0,2.0,8.0,51.0
3901,3901,Bayu Andaman,,1100,house,Kuala Lumpur,Sentul,Apartment,3,,2.0,1000.0,2.0,9.0,36.0
3902,3902,Residensi Suria Pantai,2020.0,1100,house,Kuala Lumpur,Pantai,Apartment,3,,2.0,850.0,1.0,6.0,56.0
3903,3903,Residensi Metro Kepong,2023.0,1000,house,Kuala Lumpur,Kepong,Apartment,3,,2.0,1200.0,2.0,2.0,4.0
3904,3904,Residensi Jalilmas,,1000,house,Kuala Lumpur,Bukit Jalil,Apartment,3,,2.0,800.0,2.0,4.0,54.0
3905,3905,Residensi Jalilmas,,1000,house,Kuala Lumpur,Bukit Jalil,Apartment,3,,2.0,800.0,2.0,4.0,54.0
3906,3906,Residensi Jalilmas,,850,house,Kuala Lumpur,Bukit Jalil,Apartment,3,,2.0,800.0,0.0,4.0,54.0
3907,3907,Legasi Kampong Bharu,2020.0,3200,house,Kuala Lumpur,KL City,Apartment,3,1.0,2.0,950.0,2.0,10.0,23.0
3908,3908,Residensi Desa Satumas,,1000,house,Kuala Lumpur,Taman Desa,Condominium,3,,2.0,850.0,2.0,4.0,34.0
3909,3909,PPA1M Bukit Jalil,,850,house,Kuala Lumpur,Bukit Jalil,Apartment,3,,2.0,1200.0,2.0,,23.0
3910,3910,Pandan Jaya H6 Apartment,,1098,house,Kuala Lumpur,KLCC,Apartment,3,1.0,2.0,850.0,1.0,4.0,1.0
3911,3911,Winner Court B,,1000,house,Kuala Lumpur,Desa Petaling,Condominium,3,1.0,2.0,928.0,1.0,8.0,8.0
3912,3912,Avelon Tower,,1400,house,Kuala Lumpur,Kepong,Service Residence,4,1.0,2.0,920.0,0.0,8.0,7.0
3913,3913,Bangsar Puteri,,2000,house,Kuala Lumpur,Bangsar,Condominium,2,2.0,2.0,1066.0,2.0,10.0,7.0
3914,3914,Gemilang Indah,,1400,house,Kuala Lumpur,Old Klang Road,Condominium,3,,2.0,1000.0,1.0,6.0,5.0
3915,3915,TWY Duplex Condos @ Mont Kiara,2019.0,2700,room,Kuala Lumpur,Mont Kiara,Condominium,1,1.0,1.0,662.0,2.0,,2.0
3916,3916,UNA Serviced Apartment @ Peel,2020.0,3200,house,Kuala Lumpur,Cheras,Service Residence,2,1.0,1.0,810.0,2.0,7.0,15.0
3917,3917,Corinthian Condominium,,4000,house,Kuala Lumpur,KLCC,Condominium,3,,2.0,1402.0,2.0,7.0,8.0
3918,3918,inspirasi mont kiara,,3500,house,Kuala Lumpur,Mont Kiara,Condominium,3,2.0,2.0,940.0,2.0,,1.0
3919,3919,One Maxim,2020.0,1600,house,Kuala Lumpur,Sentul,Service Residence,3,1.0,2.0,850.0,1.0,9.0,47.0
3920,3920,UNA Serviced Apartment @ Peel,2020.0,3200,house,Kuala Lumpur,Cheras,Service Residence,2,1.0,1.0,810.0,2.0,8.0,15.0
3921,3921,Mercu Summer Suites @ Kuala Lumpur,2015.0,2000,room,Kuala Lumpur,KL City,Service Residence,1,,1.0,550.0,2.0,12.0,11.0
3922,3922,Kepong Sentral Condominium,2007.0,1100,house,Kuala Lumpur,Kepong,Condominium,3,,2.0,962.0,0.0,10.0,34.0
3923,3923,Taman Maluri Flat,,1000,house,Kuala Lumpur,Cheras,Flat,2,,1.0,650.0,1.0,,1.0
3924,3924,PPR Sri Aman,2015.0,750,house,Kuala Lumpur,Kepong,Apartment,3,,2.0,700.0,0.0,,7.0
3925,3925,Perdana Villa Deluxe,,1300,house,Kuala Lumpur,Cheras,Apartment,3,1.0,2.0,806.0,1.0,3.0,14.0
3926,3926,Arcoris,2012.0,3500,room,Kuala Lumpur,Mont Kiara,Service Residence,1,1.0,1.0,688.0,2.0,9.0,6.0
3927,3927,EkoCheras Service Apartment,2017.0,2900,room,Kuala Lumpur,Cheras,Service Residence,1,1.0,2.0,762.0,2.0,11.0,14.0
3928,3928,Intan Apartment (Setiawangsa),,1500,house,Kuala Lumpur,Setiawangsa,Apartment,3,1.0,2.0,960.0,1.0,3.0,3.0
3929,3929,PV9 Residences @ Taman Melati,2022.0,2300,house,Kuala Lumpur,Setapak,Service Residence,4,2.0,2.0,1100.0,1.0,7.0,68.0
3930,3930,Seksyen 1 Wangsa Maju Flat,,1000,house,Kuala Lumpur,Wangsa Maju,Flat,2,,1.0,570.0,2.0,3.0,19.0
3931,3931,Setia SKY Residences,2011.0,2700,house,Kuala Lumpur,KLCC,Condominium,2,2.0,2.0,1055.0,1.0,8.0,37.0
3932,3932,Residensi KepongMas,2020.0,1400,house,Kuala Lumpur,Kepong,Apartment,3,1.0,2.0,800.0,2.0,1.0,57.0
3933,3933,,,3900,house,Kuala Lumpur,KLCC,Condominium,3,2.0,3.0,1669.0,2.0,8.0,
3934,3934,The Ridge @ KL East,2020.0,2450,house,Kuala Lumpur,Ampang,Service Residence,2,2.0,2.0,899.0,2.0,7.0,7.0
3935,3935,Aliran Damai Apartments,,650,house,Kuala Lumpur,Cheras,Apartment,3,1.0,2.0,710.0,1.0,,7.0
3936,3936,Serini Melawati,2018.0,3000,house,Kuala Lumpur,Taman Melawati,Service Residence,3,2.0,2.0,1099.0,2.0,6.0,22.0
3937,3937,Residensi Puchongmas,,1400,house,Kuala Lumpur,Puchong,Condominium,3,1.0,2.0,900.0,1.0,5.0,4.0
3938,3938,Segar View,,1700,house,Kuala Lumpur,Cheras,Condominium,3,1.0,2.0,922.0,1.0,5.0,1.0
3939,3939,Arte Mont Kiara,,2700,room,Kuala Lumpur,Mont Kiara,Service Residence,1,1.0,2.0,500.0,2.0,7.0,36.0
3940,3940,The Meritz,2008.0,5000,house,Kuala Lumpur,Ampang,Condominium,3,1.0,2.0,1497.0,2.0,10.0,14.0
3941,3941,Sri Ledang,,1600,house,Kuala Lumpur,Wangsa Maju,Condominium,4,1.0,2.0,1100.0,1.0,7.0,4.0
3942,3942,The Meritz,2008.0,3000,house,Kuala Lumpur,Ampang,Condominium,2,1.0,2.0,1072.0,2.0,10.0,14.0
3943,3943,Viva Residency,2009.0,1800,house,Kuala Lumpur,Jalan Ipoh,Condominium,2,1.0,2.0,840.0,2.0,7.0,18.0
3944,3944,Seksyen 2 Wangsa Maju Flat Block D,,1000,house,Kuala Lumpur,Wangsa Maju,Flat,3,,2.0,900.0,1.0,2.0,22.0
3945,3945,Platinum Splendor Residensi Semarak,2020.0,2500,house,Kuala Lumpur,Keramat,Condominium,4,,2.0,1184.0,2.0,10.0,153.0
3946,3946,CitiZen,2019.0,800,house,Kuala Lumpur,Old Klang Road,Service Residence,3,2.0,2.0,1194.0,2.0,11.0,27.0
3947,3947,Residensi Suria Pantai,2020.0,1600,house,Kuala Lumpur,Pantai,Apartment,3,1.0,2.0,810.0,1.0,9.0,56.0
3948,3948,Abadi Indah,,1200,house,Kuala Lumpur,Taman Desa,Condominium,3,1.0,2.0,947.0,1.0,9.0,21.0
