,prop_name,rent,rent_type,region,district,property_type,rooms,parking,bathroom,size,furnished_rate,facilities_rate
77,Taman Connaught,900,house,Kuala Lumpur,Cheras,Apartment,2,1.0,1.0,550,1,5.0
78,Midah Ria,1300,house,Kuala Lumpur,Cheras,Condominium,3,1.0,2.0,967,1,8.0
79,Sri Kenangan,2500,house,Kuala Lumpur,Wangsa Maju,Condominium,4,1.0,2.0,1184,1,6.0
80,Faber Ria,1300,house,Kuala Lumpur,Taman Desa,Condominium,2,1.0,2.0,1050,1,12.0
81,Banyan Tree,7800,house,Kuala Lumpur,KLCC,Condominium,2,1.0,2.0,1076,2,10.0
82,Villa Wangsamas,1700,house,Kuala Lumpur,Wangsa Maju,Condominium,3,,3.0,1267,1,11.0
83,Villa Wangsamas,2000,house,Kuala Lumpur,Wangsa Maju,Condominium,3,1.0,3.0,1267,2,11.0
84,The Capers,2100,house,Kuala Lumpur,Sentul,Service Residence,2,,2.0,999,1,10.0
85,Central Residence @ Sg Besi,1750,house,Kuala Lumpur,Sungai Besi,Condominium,3,2.0,2.0,1121,2,9.0
86,Unio Residence,2000,house,Kuala Lumpur,Kepong,Apartment,2,1.0,2.0,872,2,11.0
87,Dahlia Apartment (Ampang),1300,house,Kuala Lumpur,Ampang,Apartment,3,,2.0,860,0,3.0
88,1 Petaling,1100,house,Kuala Lumpur,Sungai Besi,Condominium,3,1.0,2.0,904,1,6.0
89,Residensi Seri Wahyu @ Jalan Kuching KL,1300,house,Kuala Lumpur,KL City,Apartment,3,1.0,2.0,835,2,10.0
90,Pangsapuri Seroja,850,house,Kuala Lumpur,Jinjang,Apartment,3,,2.0,750,1,1.0
91,Endah Villa,1400,house,Kuala Lumpur,Sri Petaling,Condominium,3,1.0,2.0,1129,2,11.0
92,Unio Residence,1900,house,Kuala Lumpur,Kepong,Service Residence,2,1.0,2.0,1132,1,11.0
93,Rica Residence Sentul,1700,house,Kuala Lumpur,Sentul,Condominium,2,,1.0,700,1,10.0
94,PV9 Residences @ Taman Melati,2100,house,Kuala Lumpur,Setapak,Service Residence,3,2.0,2.0,1000,1,9.0
95,Suasana Lumayan,1550,house,Kuala Lumpur,Cheras,Condominium,4,1.0,2.0,1142,1,8.0
96,Plaza Prima Setapak,1400,house,Kuala Lumpur,Setapak,Condominium,4,2.0,2.0,1300,1,6.0
97,Residensi Vista Wirajaya,1800,house,Kuala Lumpur,Setapak,Apartment,3,1.0,2.0,884,2,7.0
98,One Maxim,1300,house,Kuala Lumpur,Sentul,Service Residence,3,1.0,2.0,819,1,9.0
99,M Centura,2500,house,Kuala Lumpur,Sentul,Service Residence,3,1.0,2.0,850,2,6.0
100,PV9 Residences @ Taman Melati,2300,house,Kuala Lumpur,Setapak,Service Residence,3,2.0,2.0,1000,1,7.0
101,Majestic Maxim,1350,house,Kuala Lumpur,Cheras,Service Residence,2,1.0,1.0,650,1,8.0
102,Residensi KepongMas,1100,house,Kuala Lumpur,Kepong,Apartment,3,2.0,2.0,800,1,6.0
103,Bayu Sentul Condominium,1700,house,Kuala Lumpur,Sentul,Condominium,3,2.0,2.0,1300,1,14.0
104,Vista Angkasa,1800,house,Kuala Lumpur,Bangsar South,Apartment,3,1.0,2.0,1200,1,10.0
105,The Nest Residence @ Genting Klang,1600,house,Kuala Lumpur,Setapak,Service Residence,3,1.0,2.0,770,2,10.0
106,Sky Awani 3 Residence Setpak,1600,house,Kuala Lumpur,Setapak,Service Residence,3,2.0,2.0,800,2,8.0
107,M Centura,1650,house,Kuala Lumpur,Sentul,Service Residence,3,2.0,2.0,850,1,1.0
108,M Centura,1200,house,Kuala Lumpur,Sentul,Service Residence,2,1.0,1.0,646,0,8.0
109,OG Heights,1200,house,Kuala Lumpur,Pantai,Condominium,2,1.0,2.0,1000,1,6.0
110,8 Petaling,2599,house,Kuala Lumpur,Sri Petaling,Condominium,4,3.0,5.0,1899,2,7.0
111,Delima J Apartment,1400,house,Kuala Lumpur,Desa Pandan,Apartment,3,1.0,2.0,1000,1,3.0
112,Lexa Residence @ The Quartz WM,2600,house,Kuala Lumpur,Wangsa Maju,Service Residence,4,,2.0,877,2,
113,The Nest Residence @ Genting Klang,900,room,Kuala Lumpur,Setapak,Service Residence,1,1.0,1.0,360,2,10.0
114,Hedgeford 10 Residences @ Wangsa Maju,1200,room,Kuala Lumpur,Wangsa Maju,Service Residence,1,1.0,1.0,521,1,6.0
115,The Establishment,2500,room,Kuala Lumpur,Brickfields,Service Residence,1,1.0,1.0,468,2,1.0
116,The Henge Kepong,2200,house,Kuala Lumpur,Kepong,Condominium,3,2.0,2.0,1100,2,14.0
117,Sofiya Residences,2300,house,Kuala Lumpur,Desa ParkCity,Condominium,3,1.0,2.0,862,2,9.0
118,Suasana Lumayan,1500,house,Kuala Lumpur,Cheras,Condominium,4,1.0,2.0,1142,1,14.0
119,Vista Komanwel A,1600,house,Kuala Lumpur,Bukit Jalil,Condominium,3,2.0,2.0,1224,2,10.0
120,Apartment Sentul,700,house,Kuala Lumpur,Sentul,Apartment,3,,1.0,700,0,2.0
121,Lakeville Residence,1900,house,Kuala Lumpur,Jalan Ipoh,Condominium,3,2.0,2.0,1193,1,12.0
122,Arte Plus Jalan Ampang,2100,house,Kuala Lumpur,Ampang,Service Residence,3,2.0,2.0,1200,2,11.0
123,Vista Langkawi @ PV18,1399,house,Kuala Lumpur,Setapak,Service Residence,3,1.0,2.0,926,1,
124,Residensi Alam Damai (PR1MA @ Alam Damai),1300,house,Kuala Lumpur,Cheras,Apartment,3,1.0,3.0,935,0,6.0
125,Platinum OUG Residence,1450,house,Kuala Lumpur,Kuchai Lama,Condominium,3,1.0,2.0,1100,1,5.0
126,Residensi Pandanmas 1,1500,house,Kuala Lumpur,Desa Pandan,Apartment,3,1.0,2.0,900,1,10.0
127,Flat Taman Melati,1000,house,Kuala Lumpur,Setapak,Flat,3,,2.0,650,0,
128,First Residence,1600,house,Kuala Lumpur,Kepong,Condominium,3,1.0,2.0,1070,1,8.0
129,M Centura,2200,house,Kuala Lumpur,Sentul,Service Residence,3,,2.0,850,2,8.0
130,Regalia Residence,2000,room,Kuala Lumpur,Jalan Sultan Ismail,Service Residence,1,1.0,1.0,560,2,5.0
131,38 Bidara,1900,house,Kuala Lumpur,KLCC,Condominium,2,,2.0,705,2,9.0
132,Unio Residence,2200,house,Kuala Lumpur,Kepong,Apartment,2,1.0,2.0,866,2,11.0
133,Legasi Kampong Bharu,3300,house,Kuala Lumpur,KL City,Apartment,3,1.0,2.0,950,2,10.0
134,Mercu Summer Suites @ Kuala Lumpur,2000,room,Kuala Lumpur,KL City,Service Residence,1,,1.0,600,2,6.0
135,Vista Saujana,1000,house,Kuala Lumpur,Kepong,Apartment,3,,2.0,955,1,4.0
136,Teratai Mewah Apartment,850,house,Kuala Lumpur,Setapak,Apartment,3,,1.0,650,0,4.0
137,Bangsar Permai,2500,house,Kuala Lumpur,Bangsar,Condominium,3,,2.0,1000,2,8.0
