,prop_name,rent,rent_type,region,district,property_type,rooms,parking,bathroom,size,furnished_rate,facilities_rate
7357,Solaris Dutamas,2300,room,Kuala Lumpur,Mont Kiara,Service Residence,1,,1.0,672,2,9.0
7358,One Residences,2200,house,Kuala Lumpur,Sungai Besi,Service Residence,2,,2.0,888,2,8.0
7359,Abadi Indah,1200,house,Kuala Lumpur,Taman Desa,Condominium,3,1.0,2.0,1000,1,8.0
7360,,1500,house,Kuala Lumpur,Cheras,Condominium,3,2.0,2.0,1200,1,10.0
7361,,1500,house,Kuala Lumpur,Cheras,Condominium,3,2.0,2.0,1200,1,11.0
7362,Residensi Puchongmas,1499,house,Kuala Lumpur,Puchong,Condominium,3,,2.0,900,2,5.0
7363,The Herz,2200,house,Kuala Lumpur,Kepong,Apartment,3,2.0,3.0,1216,2,14.0
7364,"SkyAwani 3 Residence, Setapak",1400,house,Kuala Lumpur,Setapak,Condominium,3,1.0,2.0,800,1,12.0
7365,Teratai Mewah Condominium,1200,house,Kuala Lumpur,Setapak,Condominium,3,2.0,1.0,910,2,13.0
7366,OBD Garden Tower,2650,house,Kuala Lumpur,Taman Desa,Condominium,2,1.0,2.0,1369,2,9.0
7367,Residensi Vista Wirajaya,1700,house,Kuala Lumpur,Setapak,Apartment,3,,2.0,854,1,6.0
7368,Menara Putra,1500,house,Kuala Lumpur,City Centre,Apartment,3,,2.0,860,0,3.0
7369,The Elements,418000,room,Kuala Lumpur,Ampang,Service Residence,1,1.0,1.0,705,1,8.0
7370,Royal Domain Sri Putramas 2,1950,house,Kuala Lumpur,Jalan Kuching,Service Residence,3,1.0,2.0,1400,2,9.0
7371,Fortune Court (Kepong),900,house,Kuala Lumpur,Kepong,Apartment,3,,2.0,950,1,5.0
7372,myHabitat,2800,house,Kuala Lumpur,KL City,Service Residence,2,,1.0,1141,2,5.0
7373,The Mark,1400,room,Kuala Lumpur,Cheras,Condominium,1,2.0,1.0,618,2,12.0
7374,Mizumi Residences,1600,house,Kuala Lumpur,Kepong,Service Residence,4,2.0,2.0,932,0,13.0
7375,,1990,house,Kuala Lumpur,Cheras,Condominium,3,,2.0,1030,1,5.0
7376,,3490,house,Kuala Lumpur,Bukit Bintang,Service Residence,2,,1.0,904,2,4.0
7377,Bayu Andaman,1500,house,Kuala Lumpur,Sentul,Apartment,3,1.0,2.0,989,1,9.0
7378,Danau Murni,1100,house,Kuala Lumpur,Taman Desa,Condominium,3,1.0,2.0,900,1,6.0
7379,The Orion,2700,house,Kuala Lumpur,City Centre,Condominium,3,3.0,3.0,1323,2,7.0
7380,Mizumi Residences,1700,house,Kuala Lumpur,Kepong,Service Residence,3,2.0,2.0,932,1,13.0
7381,The Herz,2000,house,Kuala Lumpur,Kepong,Condominium,3,2.0,2.0,1073,2,14.0
7382,8 Kinrara,2600,house,Kuala Lumpur,Puchong,Service Residence,3,2.0,2.0,1096,2,5.0
7383,Savio Riana Dutamas Residence,1850,house,Kuala Lumpur,Segambut,Service Residence,2,,2.0,903,1,
7384,Paraiso @ The Earth Bukit Jalil,3100,house,Kuala Lumpur,Bukit Jalil,Condominium,3,2.0,2.0,1101,2,9.0
7385,Paraiso @ The Earth Bukit Jalil,2900,house,Kuala Lumpur,Bukit Jalil,Condominium,3,2.0,2.0,1226,2,9.0
7386,Kuchai Jaya Flat,600,house,Kuala Lumpur,Kuchai Lama,Flat,2,,1.0,650,0,
7387,Kepong Sentral Condominium,1300,house,Kuala Lumpur,Kepong,Condominium,3,1.0,2.0,962,1,10.0
7388,Paraiso @ The Earth Bukit Jalil,2300,house,Kuala Lumpur,Bukit Jalil,Condominium,3,2.0,2.0,1101,1,10.0
7389,Paraiso @ The Earth Bukit Jalil,1800,house,Kuala Lumpur,Bukit Jalil,Condominium,3,2.0,2.0,960,1,9.0
7390,Sri Putramas,1500,house,Kuala Lumpur,Jalan Kuching,Condominium,3,1.0,2.0,1050,2,11.0
7391,Gaya Apartments,1700,house,Kuala Lumpur,Taman Melawati,Apartment,2,,2.0,972,1,7.0
7392,Paraiso @ The Earth Bukit Jalil,2000,house,Kuala Lumpur,Bukit Jalil,Condominium,3,2.0,2.0,1101,1,9.0
7393,28 Boulevard,1800,house,Kuala Lumpur,Pandan Perdana,Apartment,2,1.0,1.0,450,2,14.0
7394,Casa Green (Bukit Jalil),1700,house,Kuala Lumpur,Bukit Jalil,Condominium,3,1.0,3.0,1003,1,
7395,Anggun Puri,1600,house,Kuala Lumpur,Solaris Dutamas,Condominium,3,1.0,2.0,950,2,9.0
7396,Pinnacle PJ,1650,house,Kuala Lumpur,Sri Petaling,Service Residence,2,,2.0,855,2,8.0
7397,Danau Idaman,1600,house,Kuala Lumpur,Taman Desa,Condominium,3,,2.0,938,2,9.0
7398,M Suite,1600,house,Kuala Lumpur,Bandar Menjalara,Service Residence,2,1.0,1.0,510,2,9.0
7399,Abadi Indah,998,house,Kuala Lumpur,Taman Desa,Condominium,3,1.0,2.0,830,1,8.0
7400,Sri Mutiara,1350,house,Kuala Lumpur,KL City,Apartment,2,,2.0,806,0,4.0
7401,Impiana Sky Residensi,1200,house,Kuala Lumpur,Bukit Jalil,Apartment,3,1.0,2.0,850,0,5.0
7402,Endah Regal,1300,house,Kuala Lumpur,Sri Petaling,Condominium,3,1.0,2.0,1141,2,8.0
7403,Residensi Jalilmas,1000,house,Kuala Lumpur,Bukit Jalil,Apartment,3,1.0,2.0,800,1,4.0
7404,Titiwangsa Sentral,2400,house,Kuala Lumpur,Titiwangsa,Condominium,3,,2.0,1100,2,9.0
7405,Pinnacle PJ,1850,house,Kuala Lumpur,Sri Petaling,Service Residence,2,1.0,2.0,709,1,8.0
7406,M Vertica,1600,house,Kuala Lumpur,Cheras,Condominium,3,,2.0,850,1,9.0
7407,288 Residences @ Kuchai Lama,2380,house,Kuala Lumpur,Kuchai Lama,Condominium,4,,3.0,1440,2,8.0
7408,Windsor Tower,1800,room,Kuala Lumpur,Sri Hartamas,Service Residence,1,,1.0,640,2,10.0
7409,Seri Riana Residence,4000,house,Kuala Lumpur,Wangsa Maju,Condominium,3,2.0,2.0,1382,2,12.0
7410,,2600,house,Kuala Lumpur,Titiwangsa,Apartment,3,1.0,2.0,1003,2,9.0
7411,Platinum Splendor Residensi Semarak,2300,house,Kuala Lumpur,Keramat,Condominium,4,2.0,2.0,1184,2,13.0
7412,Majestic Maxim,900,house,Kuala Lumpur,Cheras,Service Residence,3,1.0,2.0,820,1,10.0
7413,Desa Permai,2000,house,Kuala Lumpur,Taman Desa,Condominium,3,,2.0,1130,2,9.0
7414,Arte KL,2600,house,Kuala Lumpur,Kuchai Lama,Condominium,4,2.0,3.0,1500,2,8.0
7415,The Herz,2300,house,Kuala Lumpur,Kepong,Apartment,3,2.0,3.0,1216,2,10.0
7416,Embassyview,5500,house,Kuala Lumpur,Ampang Hilir,Condominium,4,,4.0,1659,2,8.0
7417,Sri Impian (Brickfields),2200,house,Kuala Lumpur,Brickfields,Condominium,3,,2.0,1000,1,
7418,Residensi Suria Pantai,1550,house,Kuala Lumpur,Pantai,Apartment,3,1.0,2.0,810,1,7.0
7419,Residensi Pandanmas 1,1400,house,Kuala Lumpur,Desa Pandan,Apartment,3,1.0,2.0,900,1,10.0
7420,Titiwangsa Sentral,2700,house,Kuala Lumpur,Titiwangsa,Condominium,3,1.0,2.0,1100,2,7.0
7421,Residensi Kia Peng,8000,house,Kuala Lumpur,KLCC,Condominium,4,2.0,5.0,2850,1,9.0
7422,Sentul Point Suite Apartment,1550,house,Kuala Lumpur,Sentul,Condominium,3,1.0,2.0,900,1,12.0
7423,M Vertica,2400,house,Kuala Lumpur,Cheras,Condominium,4,,2.0,1000,2,9.0
7424,Bandar Baru Sentul Flat,950,house,Kuala Lumpur,Sentul,Flat,2,,1.0,600,0,1.0
7425,Mizumi Residences,1600,house,Kuala Lumpur,Kepong,Service Residence,4,,2.0,932,1,13.0
7426,Bukit OUG Condominium,1250,house,Kuala Lumpur,Bukit Jalil,Condominium,3,1.0,2.0,775,1,9.0
7427,Plaza Damas,1300,room,Kuala Lumpur,Sri Hartamas,Service Residence,1,,1.0,410,2,5.0
7428,The Capers,3300,house,Kuala Lumpur,Sentul,Service Residence,4,2.0,3.0,1560,1,8.0
7429,Vista OUG @ Platinum OUG Residence,1400,house,Kuala Lumpur,Old Klang Road,Condominium,3,,2.0,850,1,4.0
7430,M Vertica,2400,house,Kuala Lumpur,Cheras,Condominium,4,,2.0,1000,1,9.0
7431,season garden,1900,house,Kuala Lumpur,Wangsa Maju,Condominium,4,1.0,2.0,850,2,14.0
7432,PV9 Residences @ Taman Melati,1900,house,Kuala Lumpur,Setapak,Service Residence,3,1.0,2.0,1000,1,14.0
7433,Vue Residences,2100,house,Kuala Lumpur,Titiwangsa,Service Residence,2,1.0,1.0,726,2,7.0
7434,M Vertica,1700,house,Kuala Lumpur,Cheras,Condominium,3,,2.0,850,0,9.0
7435,Flat Taman Melati,750,house,Kuala Lumpur,Setapak,Flat,2,,1.0,560,0,3.0
7436,Winner Court A,1200,house,Kuala Lumpur,Desa Petaling,Condominium,3,1.0,2.0,1000,0,4.0
7437,Savio Riana Dutamas Residence,1800,house,Kuala Lumpur,Segambut,Service Residence,2,,2.0,800,1,9.0
7438,Serini Melawati,1899,house,Kuala Lumpur,Taman Melawati,Condominium,2,2.0,1.0,640,2,6.0
7439,Seringin Residences,3200,house,Kuala Lumpur,Kuchai Lama,Condominium,4,2.0,3.0,1523,2,11.0
7440,Menara Seputih,1000,room,Kuala Lumpur,Seputeh,Condominium,1,,1.0,500,2,10.0
7441,Lido Residency,1600,house,Kuala Lumpur,Cheras,Condominium,2,1.0,2.0,920,1,8.0
7442,Suasana Lumayan,1950,house,Kuala Lumpur,Cheras,Condominium,4,1.0,2.0,1142,2,5.0
7443,Seksyen 1 Wangsa Maju Flat,1400,house,Kuala Lumpur,Wangsa Maju,Flat,2,1.0,1.0,550,1,
7444,Maytower,1500,room,Kuala Lumpur,KL City,Service Residence,1,,1.0,344,2,8.0
7445,,310000,house,Kuala Lumpur,Kepong,Apartment,3,1.0,2.0,980,1,5.0
7446,,2500,house,Kuala Lumpur,Sentul,Condominium,3,1.0,2.0,1272,2,11.0
7447,Sentul Point Suite Apartment,1300,house,Kuala Lumpur,Sentul,Apartment,3,1.0,2.0,850,0,10.0
7448,M City,1600,room,Kuala Lumpur,KL City,Service Residence,1,1.0,1.0,533,2,14.0
7449,Vista Angkasa,1750,room,Kuala Lumpur,Bangsar South,Apartment,1,,1.0,1100,0,5.0
7450,Taman Oug Parklane,1300,house,Kuala Lumpur,OUG,Condominium,3,1.0,2.0,950,1,6.0
7451,,260000,house,Kuala Lumpur,Kepong,Apartment,3,1.0,2.0,841,1,4.0
7452,,1400,room,Kuala Lumpur,Old Klang Road,Service Residence,1,1.0,2.0,775,2,6.0
7453,Savanna,1600,house,Kuala Lumpur,Bukit Jalil,Condominium,3,1.0,2.0,1200,2,8.0
7454,Flat Taman Melati,750,house,Kuala Lumpur,Setapak,Flat,2,6.0,1.0,560,0,3.0
7455,Queensville,1200,room,Kuala Lumpur,Cheras,Condominium,1,,1.0,552,1,
7456,Happy Garden,1300,house,Kuala Lumpur,Old Klang Road,Condominium,3,1.0,2.0,1100,2,8.0
7457,The Palladium,1900,house,Kuala Lumpur,Keramat,Condominium,3,1.0,2.0,907,2,8.0
7458,THE FENNEL AT SENTUL EAST,2300,house,Kuala Lumpur,Sentul,Condominium,2,2.0,2.0,900,2,8.0
7459,K Residence (KLCC),4900,house,Kuala Lumpur,KLCC,Condominium,2,2.0,2.0,1500,2,6.0
7460,18 Madge,11500,house,Kuala Lumpur,Ampang Hilir,Condominium,4,,4.0,2680,2,7.0
7461,Service Suites @ Pavilion Embassy,3700,house,Kuala Lumpur,Keramat,Service Residence,2,,2.0,775,2,11.0
7462,Bukit Pandan Kondominium 1,1150,house,Kuala Lumpur,Cheras,Condominium,2,1.0,2.0,1076,2,7.0
7463,Ativo Suites @ Damansara Avenue,2000,room,Kuala Lumpur,Sri Damansara,Service Residence,1,1.0,1.0,499,2,11.0
7464,UBN Apartment,2200,room,Kuala Lumpur,KL City,Condominium,1,,1.0,720,2,7.0
7465,Casa Mutiara,2000,house,Kuala Lumpur,Bukit Bintang,Service Residence,2,,2.0,900,2,7.0
7466,The Meritz,4500,house,Kuala Lumpur,Ampang,Condominium,2,,2.0,1400,2,10.0
7467,Pangsapuri Cemara (Cheras),1150,house,Kuala Lumpur,Cheras,Apartment,3,1.0,2.0,750,1,6.0
7468,Seri Raja Chulan,3200,house,Kuala Lumpur,Bukit Bintang,Condominium,3,,2.0,1300,2,9.0
7469,38 Bidara,2100,house,Kuala Lumpur,KLCC,Condominium,2,,2.0,800,2,9.0
7470,M Vertica,1800,house,Kuala Lumpur,Cheras,Condominium,3,2.0,2.0,850,1,9.0
7471,Unio Residence,2600,house,Kuala Lumpur,Kepong,Apartment,2,1.0,2.0,866,2,12.0
7472,Lojing Heights 1,2300,house,Kuala Lumpur,Wangsa Maju,Condominium,3,2.0,2.0,1570,1,13.0
7473,Platinum Hill PV 2,1700,house,Kuala Lumpur,Setapak,Condominium,3,,2.0,1313,1,7.0
7474,The Scott Garden,1800,room,Kuala Lumpur,Old Klang Road,Duplex,1,1.0,2.0,775,2,5.0
7475,Heritage Condominiun,1300,house,Kuala Lumpur,Setapak,Condominium,3,1.0,2.0,1207,2,12.0
7476,Connaught Avenue,1400,house,Kuala Lumpur,Cheras,Service Residence,3,1.0,2.0,950,2,4.0
7477,Residensi Rampai,1800,house,Kuala Lumpur,Setapak,Condominium,3,2.0,2.0,850,2,6.0
7478,Sentul Point Suite Apartment,1200,house,Kuala Lumpur,Sentul,Apartment,3,1.0,2.0,875,0,14.0
7479,Sentul Point Suite Apartment,1200,house,Kuala Lumpur,Sentul,Apartment,3,1.0,2.0,875,0,14.0
7480,,1199,house,Kuala Lumpur,Setapak,Condominium,3,,2.0,1100,1,10.0
7481,Maytower,1300,room,Kuala Lumpur,KL City,Service Residence,1,,1.0,466,2,3.0
7482,PV9 Residences @ Taman Melati,2100,house,Kuala Lumpur,Setapak,Service Residence,3,2.0,2.0,1000,1,9.0
7483,PV9 Residences @ Taman Melati,1900,house,Kuala Lumpur,Setapak,Service Residence,3,2.0,2.0,1000,1,8.0
7484,Winner Court A,1200,house,Kuala Lumpur,Desa Petaling,Condominium,3,1.0,2.0,830,1,
7485,Casa Green (Bukit Jalil),1100,house,Kuala Lumpur,Bukit Jalil,Condominium,3,,2.0,850,0,12.0
7486,Sri Putramas,1500,house,Kuala Lumpur,Jalan Kuching,Condominium,3,1.0,2.0,1050,2,9.0
7487,PV9 Residences @ Taman Melati,1750,house,Kuala Lumpur,Setapak,Service Residence,3,1.0,2.0,850,2,7.0
7488,Scenaria North Kiara,1700,house,Kuala Lumpur,Segambut,Condominium,3,1.0,2.0,1019,1,14.0
7489,Pangsapuri Cemara (Cheras),1100,house,Kuala Lumpur,Cheras,Apartment,3,,2.0,730,0,4.0
7490,The Ooak (Kiara 163),3000,room,Kuala Lumpur,Mont Kiara,Service Residence,1,2.0,2.0,880,2,9.0
7491,"SkyAwani 3 Residence, Setapak",1350,house,Kuala Lumpur,Setapak,Condominium,3,1.0,2.0,850,1,12.0
7492,Seksyen 4 Wangsa Maju Flat Block A,750,house,Kuala Lumpur,Wangsa Maju,Flat,2,,1.0,560,0,2.0
7493,Desa Tun Razak,1100,house,Kuala Lumpur,Cheras,Apartment,2,1.0,1.0,657,1,4.0
7494,Arena Green,900,house,Kuala Lumpur,Bukit Jalil,Apartment,2,1.0,2.0,732,1,4.0
7495,Pudu Impian 1,1400,house,Kuala Lumpur,Cheras,Apartment,3,2.0,2.0,700,1,3.0
7496,KL Traders Square Residences,1400,house,Kuala Lumpur,Gombak,Service Residence,4,1.0,2.0,940,1,11.0
7497,Setia SKY Residences,2500,house,Kuala Lumpur,KLCC,Condominium,3,1.0,3.0,1055,2,8.0
7498,Casa Prima (Kepong),1300,house,Kuala Lumpur,Kepong,Condominium,3,,2.0,1000,1,6.0
7499,Residensi Gurneymas,1300,house,Kuala Lumpur,Keramat,Apartment,3,1.0,2.0,850,2,3.0
7500,M Centura,1350,house,Kuala Lumpur,Sentul,Service Residence,3,,2.0,850,2,14.0
7501,Dahlia Apartment (Ampang),1200,house,Kuala Lumpur,Ampang,Apartment,3,,2.0,742,0,9.0
7502,OUG Parklane,1600,house,Kuala Lumpur,OUG,Service Residence,3,1.0,2.0,950,2,7.0
7503,The Haute,2300,house,Kuala Lumpur,Keramat,Condominium,3,2.0,2.0,1003,2,6.0
7504,Legasi Kampong Bharu,3500,house,Kuala Lumpur,KL City,Apartment,3,1.0,2.0,800,2,7.0
7505,,2500,house,Kuala Lumpur,Cheras,Condominium,4,2.0,2.0,1000,2,9.0
7506,Maytower,1500,room,Kuala Lumpur,KL City,Service Residence,1,,1.0,466,2,
7507,Legasi Kampong Bharu,4000,house,Kuala Lumpur,KL City,Apartment,3,1.0,2.0,800,2,8.0
7508,Desa Satu,850,house,Kuala Lumpur,Kepong,Apartment,3,1.0,2.0,650,1,6.0
7509,Setia SKY Residences,4000,house,Kuala Lumpur,KLCC,Condominium,4,2.0,3.0,1200,2,10.0
7510,Seri Maya,2300,house,Kuala Lumpur,Setiawangsa,Condominium,3,1.0,2.0,1204,2,9.0
7511,TR Residence,2200,house,Kuala Lumpur,Titiwangsa,Service Residence,2,1.0,1.0,720,2,11.0
7512,Windsor Tower,1300,room,Kuala Lumpur,Sri Hartamas,Service Residence,1,,1.0,500,2,10.0
7513,Wangsa Metroview,1300,house,Kuala Lumpur,Wangsa Maju,Condominium,3,1.0,2.0,1150,1,7.0
7514,Wangsa Metroview,1300,house,Kuala Lumpur,Wangsa Maju,Condominium,3,1.0,2.0,1152,1,7.0
7515,Solaris Dutamas,1800,room,Kuala Lumpur,Mont Kiara,Condominium,1,1.0,1.0,500,2,9.0
7516,Arte Plus Jalan Ampang,1800,house,Kuala Lumpur,Ampang,Service Residence,2,1.0,2.0,850,2,7.0
7517,TR Residence,2200,house,Kuala Lumpur,Titiwangsa,Service Residence,2,1.0,2.0,710,2,9.0
7518,Faber Heights,1880,house,Kuala Lumpur,Taman Desa,Condominium,2,1.0,2.0,900,2,14.0
7519,Hampshire Residences,2800,house,Kuala Lumpur,KLCC,Condominium,2,1.0,1.0,915,2,10.0
7520,Residensi Gurneymas,1400,house,Kuala Lumpur,Keramat,Apartment,3,1.0,2.0,800,0,6.0
7521,M Centura,1400,house,Kuala Lumpur,Sentul,Service Residence,3,,2.0,850,2,14.0
7522,Verve Suites @ KL South,2200,house,Kuala Lumpur,Old Klang Road,Condominium,2,1.0,2.0,729,2,9.0
7523,M Centura,1400,house,Kuala Lumpur,Sentul,Service Residence,3,,2.0,850,2,14.0
7524,Paraiso @ The Earth Bukit Jalil,2300,house,Kuala Lumpur,Bukit Jalil,Condominium,3,2.0,2.0,1100,2,10.0
7525,,2800,house,Kuala Lumpur,Wangsa Maju,Condominium,3,4.0,2.0,1500,1,11.0
7526,,1800,house,Kuala Lumpur,Jalan Kuching,Condominium,3,1.0,2.0,1400,2,9.0
7527,,1200,house,Kuala Lumpur,Kepong,Apartment,4,1.0,2.0,909,1,7.0
7528,,3800,house,Kuala Lumpur,Ampang,Condominium,2,1.0,2.0,1150,2,9.0
7529,,2000,room,Kuala Lumpur,Taman Melawati,Apartment,1,1.0,1.0,950,2,7.0
7530,,1600,house,Kuala Lumpur,Kepong,Condominium,3,2.0,3.0,932,1,13.0
7531,,1500,house,Kuala Lumpur,Sentul,Condominium,2,1.0,1.0,646,1,
7532,,4500,house,Kuala Lumpur,Mont Kiara,Condominium,3,1.0,3.0,2028,1,9.0
7533,,2200,room,Kuala Lumpur,KL City,Condominium,1,1.0,1.0,651,2,7.0
7534,,1200,house,Kuala Lumpur,Kepong,Condominium,3,1.0,2.0,904,1,
7535,M Centura,1400,house,Kuala Lumpur,Sentul,Service Residence,3,,2.0,850,2,14.0
7536,,1500,house,Kuala Lumpur,Segambut,Condominium,3,1.0,2.0,1068,2,
7537,,1500,house,Kuala Lumpur,Jalan Kuching,Condominium,3,1.0,2.0,1400,1,
7538,Pandan Perdana,1200,house,Kuala Lumpur,Pandan Perdana,Apartment,3,1.0,2.0,750,1,3.0
7539,Bayu Andaman,1400,house,Kuala Lumpur,Sentul,Condominium,3,1.0,2.0,1000,1,9.0
7540,M Centura,1300,house,Kuala Lumpur,Sentul,Service Residence,3,,2.0,850,2,14.0
7541,Pandan Court,1200,house,Kuala Lumpur,Ampang,Apartment,3,,2.0,828,1,5.0
7542,Warisan City View,1550,house,Kuala Lumpur,Cheras,Condominium,3,1.0,2.0,950,2,7.0
7543,Ketumbar Heights,1400,house,Kuala Lumpur,Cheras,Condominium,3,1.0,2.0,755,2,5.0
7544,The Hamilton,2300,house,Kuala Lumpur,Wangsa Maju,Condominium,3,2.0,2.0,1000,1,8.0
7545,Bayu Andaman,1400,house,Kuala Lumpur,Sentul,Condominium,3,1.0,2.0,1000,1,9.0
7546,Puncak Desa Apartment,900,house,Kuala Lumpur,Kepong,Apartment,3,1.0,2.0,850,1,5.0
7547,Sentrio Suites,2500,house,Kuala Lumpur,Desa Pandan,Service Residence,3,2.0,2.0,950,1,9.0
7548,One Maxim,1700,house,Kuala Lumpur,Sentul,Service Residence,3,1.0,2.0,821,2,14.0
7549,Sentrio Suites,2600,house,Kuala Lumpur,Desa Pandan,Service Residence,3,2.0,3.0,1200,2,9.0
7550,M City,1599,room,Kuala Lumpur,KL City,Service Residence,1,1.0,1.0,550,2,11.0
7551,Inspirasi Mont Kiara,3500,house,Kuala Lumpur,Mont Kiara,Condominium,3,2.0,2.0,940,2,6.0
7552,Expressionz Professional Suites,1599,room,Kuala Lumpur,KL City,Service Residence,1,,1.0,400,2,6.0
7553,Setia SKY Residences,4000,house,Kuala Lumpur,KLCC,Condominium,4,2.0,3.0,1200,2,11.0
7554,Residensi Suria Pantai,1600,house,Kuala Lumpur,Pantai,Apartment,3,,2.0,810,1,6.0
7555,Platinum Splendor Residensi Semarak,2300,house,Kuala Lumpur,Keramat,Condominium,4,2.0,2.0,1184,2,13.0
7556,Bayu Sentul Condominium,1400,house,Kuala Lumpur,Sentul,Condominium,3,2.0,2.0,1316,1,10.0
7557,Residensi Suria Pantai,1600,house,Kuala Lumpur,Pantai,Apartment,3,,2.0,810,1,6.0
7558,One Maxim,1400,house,Kuala Lumpur,Sentul,Service Residence,2,1.0,1.0,650,1,10.0
7559,Regalia Residence,1700,house,Kuala Lumpur,Jalan Sultan Ismail,Service Residence,3,1.0,2.0,923,2,10.0
7560,M Centura,1200,house,Kuala Lumpur,Sentul,Service Residence,2,1.0,1.0,650,0,10.0
7561,Platinum Hill PV 3,1299,house,Kuala Lumpur,Setapak,Condominium,4,1.0,2.0,1297,1,6.0
7562,,1500,room,Kuala Lumpur,Keramat,Others,1,1.0,1.0,800,1,5.0
7563,Lavile,3500,house,Kuala Lumpur,Cheras,Service Residence,3,1.0,2.0,1068,2,5.0
7564,PV9 Residences @ Taman Melati,2000,house,Kuala Lumpur,Setapak,Service Residence,3,2.0,2.0,1000,1,
7565,Platinum Hill PV 3,1299,house,Kuala Lumpur,Setapak,Condominium,4,1.0,2.0,1297,1,6.0
7566,Queenville Permaisuri,1400,room,Kuala Lumpur,Cheras,Studio,1,2.0,1.0,526,2,
7567,The Vyne,1800,house,Kuala Lumpur,Sungai Besi,Condominium,2,1.0,2.0,855,2,13.0
7568,Flat Taman Bukit Angkasa,1300,house,Kuala Lumpur,Bangsar South,Flat,3,,2.0,720,2,
7569,The Goodwood Residence,4400,house,Kuala Lumpur,Bangsar South,Service Residence,4,2.0,3.0,1184,2,10.0
7570,Plaza Damas,1800,room,Kuala Lumpur,Sri Hartamas,Service Residence,1,,1.0,595,2,4.0
7571,"Fera Residence @ The Quartz, Wangsa Maju",1900,house,Kuala Lumpur,Wangsa Maju,Service Residence,3,2.0,2.0,827,2,10.0
7572,THE FENNEL AT SENTUL EAST,1999,house,Kuala Lumpur,Sentul,Condominium,2,1.0,2.0,900,2,
7573,One-Stop @ Fraser Business Park,2399,house,Kuala Lumpur,KLCC,Service Residence,3,,2.0,885,2,7.0
7574,8 Petaling,2699,house,Kuala Lumpur,Sri Petaling,Condominium,4,3.0,5.0,1891,2,6.0
7575,Residensi KepongMas,1200,house,Kuala Lumpur,Kepong,Apartment,3,2.0,2.0,800,1,3.0
7576,One Maxim,1300,house,Kuala Lumpur,Sentul,Service Residence,2,1.0,2.0,650,1,10.0
7577,Idaman Sutera,1100,house,Kuala Lumpur,Setapak,Condominium,3,1.0,2.0,850,1,9.0
7578,Secoya Residences,4300,house,Kuala Lumpur,Pantai,Condominium,4,2.0,2.0,1400,2,7.0
7579,Sinaran TTDI,3800,house,Kuala Lumpur,Taman Tun Dr Ismail,Condominium,2,2.0,3.0,1600,2,6.0
7580,Canopy hills,603,house,Kuala Lumpur,Serdang,Condominium,2,1.0,1.0,590,0,10.0
7581,Ketumbar Hill,1500,house,Kuala Lumpur,Cheras,Condominium,3,1.0,2.0,1200,2,10.0
7582,Putra Villa,1600,house,Kuala Lumpur,Setapak,Condominium,3,1.0,2.0,1250,2,9.0
7583,Menara Rajawali,1400,house,Kuala Lumpur,Setiawangsa,Apartment,3,,1.0,900,1,4.0
7584,Desa Putra (Wangsa Maju),2150,house,Kuala Lumpur,Wangsa Maju,Condominium,4,1.0,2.0,1268,1,10.0
7585,Maxim Citilights,1700,house,Kuala Lumpur,Sentul,Condominium,3,1.0,2.0,1009,2,6.0
7586,Saville,1800,house,Kuala Lumpur,Taman Melawati,Service Residence,3,1.0,2.0,1001,1,9.0
7587,Shamelin Star,2600,house,Kuala Lumpur,Cheras,Service Residence,4,2.0,3.0,1054,2,14.0
7588,Bandar Tasik Selatan (Low Cost),900,house,Kuala Lumpur,Cheras,Apartment,3,,1.0,650,1,3.0
7589,Panorama Residences (Sentul),1500,house,Kuala Lumpur,Sentul,Condominium,3,1.0,2.0,1130,0,8.0
7590,Baiduri Apartment (Desa Pandan),1000,house,Kuala Lumpur,Desa Pandan,Apartment,3,,1.0,700,0,2.0
7591,Section 2,800,house,Kuala Lumpur,Wangsa Maju,Apartment,2,,1.0,550,0,
7592,"SkyAwani 3 Residence, Setapak",1450,house,Kuala Lumpur,Setapak,Condominium,3,1.0,2.0,850,1,12.0
7593,Waldorf Tower,2800,house,Kuala Lumpur,Sri Hartamas,Service Residence,2,1.0,2.0,1150,2,8.0
7594,Prisma Cheras,1000,room,Kuala Lumpur,Cheras,Condominium,1,1.0,1.0,717,1,13.0
7595,Sky Meridien,2600,house,Kuala Lumpur,Sentul,Service Residence,2,2.0,2.0,794,2,11.0
7596,Cendana Apartment,900,house,Kuala Lumpur,Cheras,Apartment,3,1.0,2.0,660,1,5.0
7597,Taman Mulia,650,house,Kuala Lumpur,Cheras,Flat,2,,1.0,600,0,3.0
7598,Puncak Banyan,1400,house,Kuala Lumpur,Cheras,Condominium,3,,2.0,807,2,4.0
7599,KL Traders Square,1500,house,Kuala Lumpur,Setapak,Condominium,4,2.0,2.0,940,1,
7600,Hartamas Regency I,2200,house,Kuala Lumpur,Solaris Dutamas,Condominium,3,1.0,2.0,1170,1,6.0
7601,TR Residence,2250,house,Kuala Lumpur,Titiwangsa,Service Residence,2,1.0,1.0,720,2,6.0
7602,Gurney Heights,1900,house,Kuala Lumpur,Keramat,Condominium,3,1.0,2.0,1382,1,6.0
7603,Mirage Residence,2800,room,Kuala Lumpur,KL City,Condominium,1,1.0,1.0,850,2,6.0
7604,Shamelin Star,3100,house,Kuala Lumpur,Cheras,Service Residence,4,2.0,4.0,1587,1,14.0
