appid,name,release_date,english,developer,publisher,platforms_windows,platform_mac,platform_linux,required_age,categories,genres,achievements,positive_ratings,negative_ratings,average_playtime,owners,price
898760,Clone Adventures,8/27/2018,1,ImperiumGame,ImperiumGame,1,0,0,universal,Single-player,Indie,5,1,7,0,0-20000,0.79
936530,Close Combat: Last Stand Arnhem,11/29/2018,1,Black Hand Studio,Slitherine Ltd.,1,0,0,universal,Single-player,Simulation,0,11,2,177,0-20000,30.99
773170,Close the Window!,1/2/2018,1,Victor Corradi,Corradi Games,1,1,1,universal,Single-player,Casual,49,11,19,0,0-20000,0.79
706710,Close Your Eyes -Anniversary Remake-,12/21/2018,1,Yai Gameworks,Yai Gameworks,1,1,0,universal,Single-player,Adventure,49,13,2,0,0-20000,3.99
916710,Closer Than You Think,9/20/2018,1,KateGamesStudio,Dagestan Technology,1,0,0,universal,Single-player,Adventure,0,1,2,0,0-20000,3.19
215830,Closers,2/6/2018,1,Naddic Games,En Masse Entertainment,1,0,0,universal,Single-player,Action,0,2061,734,194,500000-1000000,0
751670,Cloud Chasers - Journey of Hope,10/15/2018,1,Blindflug Studios AG,Blindflug Studios AG,1,1,0,universal,Single-player,Adventure,45,5,1,0,0-20000,3.99
886350,Clouded,12/12/2018,1,No Moss Studios,No Moss Studios,1,1,0,universal,Single-player,Indie,0,2,1,0,0-20000,2.09
845400,Club Dance Party VR,6/6/2018,1,Studio Odin Inc.,Studio Odin Inc.,1,0,0,universal,Single-player,Casual,20,7,13,0,0-20000,11.39
794800,Clue/Cluedo: The Classic Mystery Game,5/17/2018,1,Marmalade Game Studio Ltd,Marmalade Game Studio Ltd,1,0,0,universal,Single-player,Casual,19,143,28,760,0-20000,11.99
791340,Clumsy Chef,2/5/2018,1,IndieLip,IndieLip,1,0,0,universal,Single-player,Adventure,0,17,35,0,20000-50000,2.89
765360,Clumsy Knights : Threats of Dragon,1/25/2018,1,BIG WOOD GAMES,BIG WOOD GAMES,1,1,0,universal,Single-player,Casual,0,18,7,0,0-20000,2.09
802070,Cluster Dust,3/13/2018,1,MegaTronic Labs,MegaTronic Labs,1,0,0,universal,Single-player,Action,13,9,4,0,0-20000,1.69
879120,ClusterDisaster,7/20/2018,1,dev4play,dev4play,1,0,0,universal,Single-player,Action,20,3,2,0,0-20000,3.99
922090,CMD 2048,8/30/2018,1,Ruskija game experience,Tero Lunkka,1,0,0,universal,Single-player,Casual,0,2,10,0,0-20000,0.79
878540,Coach Bus Simulator Parking,7/13/2018,1,Bleeding Edge,4EversGames,1,0,0,universal,Single-player,Simulation,0,0,2,0,0-20000,3.99
928810,Coal Man Clicker,9/29/2018,1,One Click Man,Firehawk Studios,1,0,0,universal,Single-player,Casual,0,1,0,0,0-20000,0.79
773930,Coaster,1/19/2018,1,Monster Paw,Binarie,1,0,0,universal,Single-player,Action,0,12,2,0,0-20000,3.99
816920,Coastiality,5/14/2018,1,MackMediaGames,MackMediaGames,1,0,0,universal,Single-player,Action,0,1,5,0,0-20000,7.19
930640,Code Brown,11/9/2018,1,CreaTeam,CreaTeam,1,0,0,universal,Single-player,Adventure,29,17,1,0,0-20000,2.89
844030,Codename Ghost Hunt,9/2/2018,1,Rahul Martin,Rahul Martin,1,0,0,universal,Multi-player,Violent,0,0,1,0,0-20000,3.99
793820,Coffee Crawl,3/21/2018,1,Vectorinox,Vectorinox,1,1,0,universal,Single-player,Action,0,5,0,0,0-20000,3.99
596380,Coffee Crisis,5/4/2018,1,Mega Cat Studios,Mega Cat Studios,1,1,1,universal,Single-player,Action,48,78,12,0,0-20000,7.19
910210,Coffee Trainer VR,9/20/2018,0,ON Reality lab.,ON Reality lab.,1,0,0,universal,Single-player,Free to Play,0,3,3,0,0-20000,0
674370,CoffeeBiz Tycoon,10/31/2018,1,The Sociopath Software,The Sociopath Software,1,0,0,universal,Single-player,Indie,0,25,10,0,0-20000,7.19
583240,Coffence,10/25/2018,1,Sweet Bandits Studios,Sweet Bandits Studios,1,0,0,universal,Single-player,Action,30,19,8,304,0-20000,10.99
711690,Cognizer,5/30/2018,1,Maniac Games,Maniac Games,1,1,1,universal,Single-player,Casual,21,31,1,0,0-20000,0
837780,Coin-Op Kingdom,8/9/2018,1,Canalside Studios,Canalside Studios,1,0,0,universal,Single-player,Casual,21,5,6,0,0-20000,5.49
933070,Cold Blooded Cube,10/15/2018,1,Online Vision,Garage Games,1,0,0,universal,Single-player,Action,4,7,10,0,0-20000,2.09
543440,Cold Iron - Quick Draw Western Duels,1/29/2018,1,"Catch & Release, LLC","Catch & Release, LLC",1,0,0,universal,Single-player,Action,19,23,4,0,0-20000,10.99
960660,Coldfall,12/13/2018,1,Charyb Games,Charyb Games,1,0,1,universal,Single-player,Action,8,9,1,0,0-20000,2.09
938170,Colette's Sugar Madness,10/5/2018,1,Mark Hill,Mark Hill,1,0,0,universal,Single-player,Indie,7,3,0,0,0-20000,3.99
371650,COLINA: Legacy,9/13/2018,1,"Chance6 Studios, LLC","Chance6 Studios, LLC",1,0,1,universal,Single-player,Action,19,71,12,0,0-20000,7.19
725910,Collide,3/14/2018,1,Brandon Slade,Miniwit Studios,1,0,0,universal,Single-player,Casual,100,4,0,0,0-20000,7.19
946790,Colo Grid Zation,12/21/2018,1,Armagedoom Games,Armagedoom Games,1,1,0,universal,Single-player,Indie,4,0,1,0,0-20000,2.89
968430,Colonization of the Moon,11/14/2018,1,ImperiumGame,ImperiumGame,1,0,0,universal,Single-player,Action,0,0,5,0,0-20000,0.79
866340,Colonumbers,6/19/2018,1,Mario Scarfone,Mario Scarfone,1,1,0,universal,Single-player,Casual,5,1,3,0,0-20000,0.79
773640,Colony On Mars,1/4/2018,1,"Nikita ""Ghost_RUS""",Ghost_RUS Games,1,0,0,universal,Single-player,Casual,10,3,22,0,0-20000,1.69
843510,Colony Prospector,4/25/2018,1,Mykel Flynn,Mykel Flynn,1,1,1,universal,Single-player,Indie,0,11,4,0,0-20000,3.99
909830,Color by Number - Pixel Draw,8/22/2018,1,Pixel Draw,Pixel Draw,1,0,0,universal,Single-player,Adventure,0,7,4,0,0-20000,1.69
954410,Color by Numbers - Animals,11/22/2018,1,Kedronic UAB,Kedronic UAB,1,1,1,universal,Single-player,Casual,0,1,0,0,0-20000,4.49
954400,Color by Numbers - Christmas,11/13/2018,1,Kedronic UAB,Kedronic UAB,1,1,1,universal,Single-player,Casual,0,1,0,0,0-20000,3.49
849980,Color by Numbers - Dinosaurs,5/15/2018,1,Kedronic UAB,Kedronic UAB,1,1,1,universal,Single-player,Casual,0,5,0,0,0-20000,4.49
954360,Color by Numbers - Halloween,10/16/2018,1,Kedronic UAB,Kedronic UAB,1,1,1,universal,Single-player,Casual,0,3,2,0,0-20000,3.49
970550,Color Chain,11/23/2018,1,Djack D Donovan,Djack D Donovan,1,1,1,universal,Single-player,Casual,0,0,1,0,0-20000,0.79
800330,Color Circle,3/30/2018,1,XiNFiNiTY Games,OtakuMaker SARL,1,1,1,universal,Single-player,Action,11,4,1,0,0-20000,0.99
985090,Color Knight,12/20/2018,1,BlueTreeGames,BlueTreeGames,1,0,0,universal,Single-player,Action,0,2,1,0,0-20000,3.99
898380,Color Party,7/25/2018,1,VirtexUniverse,VirtexUniverse,1,0,0,universal,Single-player,Casual,95,8,23,0,0-20000,0.79
845350,Color Path,5/11/2018,1,Breading Games,Breading Games,1,0,0,universal,Single-player,Casual,500,2,0,0,0-20000,0.79
984590,Coloring Book,12/4/2018,1,vadimalexepta,vadimalexepta,1,0,0,universal,Single-player,Casual,0,1,0,0,0-20000,0.79
897330,Coloring Pixels,8/17/2018,1,ToastieLabs,ToastieLabs,1,1,0,universal,Single-player,Casual,303,1154,45,1541,200000-500000,0
818500,Colorzzle,8/10/2018,1,Darong Studio,PsychoFlux Entertainment,1,0,0,universal,Single-player,Casual,20,33,0,0,0-20000,1.69
810690,Colour Box,3/9/2018,1,Daniel Michaneck,Daniel Michaneck,1,0,0,universal,Single-player,Indie,0,15,0,0,0-20000,0
953340,Colourless,10/3/2018,1,Outrage Games,Outrage Games,1,0,0,universal,Single-player,Indie,27,4,0,0,0-20000,2.09
905640,Combat Arms: Reloaded,10/31/2018,1,VALOFE,VALOFE,1,0,0,universal,Single-player,Action,0,422,431,0,200000-500000,0
906280,Combat Rush,8/14/2018,1,CreptsyStudio,CreptsyStudio,1,0,0,universal,Single-player,Action,10,14,0,0,0-20000,0.99
750010,Combat Tested,3/23/2018,1,Buckethead Entertainment,Buckethead Entertainment,1,0,0,universal,Single-player,Violent,0,35,13,0,0-20000,15.49
730420,Combine War Toys,10/30/2018,1,HAYATO YANG,HayatoWorks,1,0,0,universal,Single-player,Action,0,1,0,0,0-20000,5.79
940320,Combo Jumper,10/24/2018,1,Veathen Games,Veathen Games,1,0,0,universal,Single-player,Action,0,3,0,0,0-20000,7.19
701040,CometStriker,6/8/2018,1,Iced Lizard Games,Iced Lizard Games,1,1,1,universal,Single-player,Action,111,36,0,0,0-20000,7.19
847630,Commanager Tycoon,5/1/2018,1,Skyjaz Games,Skyjaz Games,1,1,1,universal,Single-player,Casual,8,14,7,0,0-20000,8.29
785930,Command: The Silent Service,3/1/2018,1,WarfareSims,Slitherine Ltd.,1,0,0,universal,Single-player,Simulation,0,8,3,0,0-20000,15.49
699870,Commands & Colors: Ancients,9/12/2018,1,HexWar Games,HexWar Games,1,1,0,universal,Single-player,Violent,15,13,22,0,0-20000,15.49
772210,Committed: Mystery at Shady Pines - Premium Edition,2/20/2018,1,"Fugazo, Inc.","Fugazo, Inc.",1,1,0,universal,Single-player,Adventure,0,2,0,0,0-20000,6.19
860030,Common Hanzi Quiz - Simplified Chinese,5/21/2018,1,Wholetone Games,Wholetone Games,1,0,0,universal,Single-player,Casual,8,1,0,0,0-20000,2.99
772420,COMPLEX a VR Puzzle Game,1/8/2018,1,Rock AK Games,Rock AK Games (AK),1,0,0,universal,Single-player,Casual,0,6,3,0,0-20000,1.69
615120,COMPOUND,5/15/2018,1,Bevan McKechnie,Bevan McKechnie,1,0,0,universal,Single-player,Action,0,234,6,0,0-20000,14.99
787710,Comrades and Barons: Solitaire of Bloody 1919,2/8/2018,1,Maris Ozols,Maris Ozols,1,0,0,universal,Single-player,Casual,47,19,2,0,0-20000,5.79
826230,CONCLUSE,6/29/2018,1,Studio Snowspot,Studio Snowspot,1,1,0,universal,Single-player,Action,17,152,53,0,20000-50000,0
974860,Condition Red,11/19/2018,1,Nervtek,Nervtek,1,0,0,universal,Single-player,Action,0,3,0,0,0-20000,3.99
771370,Confederate Express,4/10/2018,1,Maksym Pashanin,Maksym Pashanin,1,1,0,universal,Single-player,Action,26,7,39,0,0-20000,7.19
784950,CONFLICT OF NATIONS: WORLD WAR 3,3/15/2018,1,Dorado Games,Dorado Games,1,1,0,universal,Online Multi-Player,Free to Play,133,142,148,11,100000-200000,0
